Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,281873,-,-,-,51.05,-114.06,-7,1067,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2022,1,1,0,30,-25.400000000000002,1.28,0.012,0.64,0,0,0,0,0,-29.700000000000003,0,0,0,0,0.324,67.32000000000001,151.89000000000001,0.9,0.8,885,0.2,265,2,0.0000,0.0000
2022,1,1,1,30,-25.200000000000003,1.29,0.011,0.64,0,0,0,0,0,-29.5,0,0,0,0,0.323,67.54,150.31,0.9,0.8,885,0.2,262,2.1,0.0000,0.0000
2022,1,1,2,30,-24.900000000000002,1.27,0.012,0.64,0,0,0,0,0,-29.200000000000003,0,0,0,0,0.324,67.39,144.77,0.91,0.8,884,0.2,260,2.3000000000000003,0.0000,0.0000
2022,1,1,3,30,-24.3,1.25,0.014,0.64,0,0,0,0,0,-28.700000000000003,0,0,0,0,0.325,66.71000000000001,136.89000000000001,0.91,0.8,884,0.2,259,2.4000000000000004,0.0000,0.0000
2022,1,1,4,30,-23.6,1.24,0.015,0.64,0,0,0,0,0,-28.1,0,0,0,0,0.329,66.52,127.9,0.92,0.8,883,0.2,259,2.6,0.0000,0.0000
2022,1,1,5,30,-22.8,1.22,0.015,0.64,0,0,0,0,0,-27.400000000000002,0,0,0,0,0.333,66.32000000000001,118.51,0.92,0.8,882,0.30000000000000004,260,2.7,0.0000,0.0000
2022,1,1,6,30,-21.900000000000002,1.22,0.013000000000000001,0.64,0,0,0,0,0,-26.5,0,0,0,0,0.337,66.25,109.17,0.92,0.8,882,0.30000000000000004,261,2.9000000000000004,0.0000,0.0000
2022,1,1,7,30,-21.1,1.22,0.013000000000000001,0.64,0,0,0,0,0,-25.6,0,0,0,0,0.339,67.07000000000001,100.25,0.92,0.8,881,0.4,263,3,0.0000,0.0000
2022,1,1,8,30,-19.6,1.21,0.013000000000000001,0.64,0,0,0,0,0,-24.700000000000003,0,0,0,0,0.338,64.01,92.06,0.93,0.8,881,0.5,265,3.1,0.0000,0.0000
2022,1,1,9,30,-17,1.21,0.012,0.64,24,556,74,0,0,-22.700000000000003,24,556,0,74,0.337,61.14,84.8,0.93,0.8,881,0.5,266,3.3000000000000003,0.0000,0.0000
2022,1,1,10,30,-14.100000000000001,1.21,0.012,0.64,35,736,172,0,0,-19.6,61,461,0,147,0.337,63.24,79.26,0.93,0.8,881,0.6000000000000001,265,3.5,7.0076,5.3450
2022,1,1,11,30,-11.9,1.2,0.012,0.64,43,813,246,0,0,-16.900000000000002,53,764,0,244,0.337,66.17,75.53,0.9400000000000001,0.8,880,0.6000000000000001,267,3.8000000000000003,11.8776,9.1192
2022,1,1,12,30,-10.4,1.19,0.014,0.64,46,833,276,1,7,-15.200000000000001,119,477,17,251,0.334,67.95,73.97,0.9500000000000001,0.8,880,0.7000000000000001,268,3.9000000000000004,12.3878,9.5372
2022,1,1,13,30,-9.600000000000001,1.2,0.015,0.64,46,814,260,5,7,-13.8,69,2,67,70,0.33,71.57000000000001,74.75,0.9500000000000001,0.8,879,0.7000000000000001,269,3.9000000000000004,3.4305,2.6375
2022,1,1,14,30,-9.600000000000001,1.2,0.017,0.64,42,746,200,5,7,-13.100000000000001,109,51,67,120,0.328,75.43,77.78,0.9500000000000001,0.8,879,0.7000000000000001,268,4.2,5.7492,4.3957
