,name,id,address,date,kWh,public_url,installationDate,uid,datetime,Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),maximumPower
0,Telus Spark,594148,220 ST GEORGES DR NE,19/11/2017 8:00,0.302,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-19 08:00:00,2017-11-19 08:00:00,2017,11,19,7,30,-4.5,1.24,0.018,0.62,0,0,0,4,6,-7.4,0,0,4,0,0.28,80.03,94.96,0.93,0.73,879,0.8,239,2.3000000000000003,0.0,0.0,273.0
1,Telus Spark,594148,220 ST GEORGES DR NE,19/11/2017 9:00,1.814,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-19 09:00:00,2017-11-19 09:00:00,2017,11,19,8,30,-3.5,1.25,0.02,0.62,19,405,42,4,6,-7.5,26,2,4,26,0.28,74.05,86.7,0.93,0.73,878,0.8,236,2.5,0.0,0.0,273.0
2,Telus Spark,594148,220 ST GEORGES DR NE,19/11/2017 10:00,3.734,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-19 10:00:00,2017-11-19 10:00:00,2017,11,19,9,30,-1.5,1.25,0.021,0.62,38,678,156,4,6,-6.2,97,24,4,101,0.279,70.14,79.96000000000001,0.93,0.73,877,0.8,230,2.7,4.8156,3.6699,273.0
3,Telus Spark,594148,220 ST GEORGES DR NE,19/11/2017 11:00,10.2,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-19 11:00:00,2017-11-19 11:00:00,2017,11,19,10,30,0.1,1.27,0.021,0.62,49,793,257,4,8,-4.6000000000000005,144,45,4,156,0.277,70.76,74.74,0.93,0.73,876,0.8,223,2.7,7.6459,5.8786,273.0
4,Telus Spark,594148,220 ST GEORGES DR NE,19/11/2017 12:00,8.991,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-19 12:00:00,2017-11-19 12:00:00,2017,11,19,11,30,1.1,1.27,0.021,0.62,54,842,321,4,8,-3.4000000000000004,154,15,4,159,0.276,71.94,71.54,0.93,0.73,875,0.8,220,2.6,8.0263,6.2027,273.0
5,Telus Spark,594148,220 ST GEORGES DR NE,19/11/2017 13:00,7.673,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-19 13:00:00,2017-11-19 13:00:00,2017,11,19,12,30,1.8,1.26,0.022,0.62,56,852,338,4,8,-2.8000000000000003,150,12,4,154,0.274,71.74,70.67,0.93,0.73,875,0.8,226,2.8000000000000003,7.8363,6.0631,273.0
6,Telus Spark,594148,220 ST GEORGES DR NE,19/11/2017 14:00,4.168,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-19 14:00:00,2017-11-19 14:00:00,2017,11,19,13,30,2.0,1.28,0.022,0.62,53,831,307,4,4,-2.9000000000000004,172,7,4,174,0.272,69.79,72.23,0.93,0.73,874,0.8,234,3.2,8.7274,6.7377,273.0
7,Telus Spark,594148,220 ST GEORGES DR NE,19/11/2017 15:00,2.535,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-19 15:00:00,2017-11-19 15:00:00,2017,11,19,14,30,1.7000000000000002,1.34,0.019,0.62,45,774,232,4,8,-3.1,140,73,4,157,0.272,70.56,76.06,0.93,0.73,873,0.8,236,3.3000000000000003,7.6096,5.8367,273.0
8,Telus Spark,594148,220 ST GEORGES DR NE,19/11/2017 16:00,0.471,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-19 16:00:00,2017-11-19 16:00:00,2017,11,19,15,30,0.8,1.38,0.021,0.62,34,626,123,4,8,-3.2,82,26,4,85,0.273,74.59,81.78,0.93,0.73,872,0.8,239,3.4000000000000004,0.0,0.0,273.0
9,Telus Spark,594148,220 ST GEORGES DR NE,20/11/2017 8:00,0.21,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-20 08:00:00,2017-11-20 08:00:00,2017,11,20,7,30,-8.200000000000001,1.32,0.07,0.62,0,0,0,0,4,-9.4,0,0,0,0,0.246,91.2,95.17,0.96,0.78,880,0.6000000000000001,30,1.9,0.0,0.0,273.0
10,Telus Spark,594148,220 ST GEORGES DR NE,20/11/2017 9:00,2.013,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-20 09:00:00,2017-11-20 09:00:00,2017,11,20,8,30,-8.3,1.32,0.073,0.62,23,266,38,7,4,-10.3,21,0,7,21,0.241,85.24,86.91,0.96,0.78,881,0.6000000000000001,36,1.7000000000000002,0.0,0.0,273.0
11,Telus Spark,594148,220 ST GEORGES DR NE,20/11/2017 10:00,1.206,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-20 10:00:00,2017-11-20 10:00:00,2017,11,20,9,30,-7.4,1.33,0.072,0.62,51,575,149,7,4,-10.4,89,1,7,90,0.239,79.41,80.19,0.96,0.78,882,0.6000000000000001,39,1.9,0.0,0.0,273.0
12,Telus Spark,594148,220 ST GEORGES DR NE,20/11/2017 11:00,0.682,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-20 11:00:00,2017-11-20 11:00:00,2017,11,20,10,30,-6.4,1.34,0.07,0.62,67,711,251,7,4,-9.6,85,0,7,85,0.238,78.0,74.97,0.96,0.78,883,0.6000000000000001,39,2.1,4.1576,3.1953,273.0
13,Telus Spark,594148,220 ST GEORGES DR NE,20/11/2017 12:00,1.616,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-20 12:00:00,2017-11-20 12:00:00,2017,11,20,11,30,-5.800000000000001,1.34,0.073,0.62,76,764,315,7,4,-9.4,24,0,7,24,0.237,75.67,71.77,0.96,0.78,883,0.6000000000000001,37,2.3000000000000003,1.2089,0.934,273.0
14,Telus Spark,594148,220 ST GEORGES DR NE,20/11/2017 13:00,2.604,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-20 13:00:00,2017-11-20 13:00:00,2017,11,20,12,30,-5.6000000000000005,1.33,0.073,0.62,78,778,333,7,4,-9.3,158,1,7,159,0.237,75.16,70.89,0.96,0.78,884,0.6000000000000001,35,2.6,8.0745,6.2456,273.0
15,Telus Spark,594148,220 ST GEORGES DR NE,20/11/2017 14:00,1.081,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-20 14:00:00,2017-11-20 14:00:00,2017,11,20,13,30,-5.800000000000001,1.34,0.065,0.62,72,766,303,7,4,-9.5,114,0,7,114,0.236,75.18,72.44,0.96,0.78,885,0.6000000000000001,34,2.8000000000000003,5.7068,4.4044,273.0
16,Telus Spark,594148,220 ST GEORGES DR NE,20/11/2017 15:00,0.371,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-20 15:00:00,2017-11-20 15:00:00,2017,11,20,14,30,-6.7,1.32,0.065,0.62,62,692,227,7,4,-10.1,102,1,7,103,0.236,76.8,76.25,0.96,0.78,886,0.6000000000000001,35,2.8000000000000003,4.9849,3.8222,273.0
17,Telus Spark,594148,220 ST GEORGES DR NE,20/11/2017 16:00,0.013,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-20 16:00:00,2017-11-20 16:00:00,2017,11,20,15,30,-8.200000000000001,1.32,0.063,0.62,44,532,118,7,4,-11.2,44,0,7,44,0.235,78.97,81.95,0.96,0.78,887,0.6000000000000001,34,2.6,0.0,0.0,273.0
18,Telus Spark,594148,220 ST GEORGES DR NE,21/11/2017 8:00,0.257,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-21 08:00:00,2017-11-21 08:00:00,2017,11,21,7,30,-12.5,1.36,0.029,0.62,0,0,0,4,8,-15.3,0,0,4,0,0.253,79.62,95.39,0.93,0.8,894,0.7000000000000001,148,2.4000000000000004,0.0,0.0,273.0
19,Telus Spark,594148,220 ST GEORGES DR NE,21/11/2017 9:00,1.035,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-21 09:00:00,2017-11-21 09:00:00,2017,11,21,8,30,-11.7,1.39,0.026,0.62,19,368,37,4,4,-15.1,16,0,4,16,0.251,75.86,87.11,0.92,0.8,894,0.7000000000000001,150,2.2,0.0,0.0,273.0
20,Telus Spark,594148,220 ST GEORGES DR NE,21/11/2017 10:00,3.511,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-21 10:00:00,2017-11-21 10:00:00,2017,11,21,9,30,-9.7,1.42,0.022,0.62,38,678,151,4,8,-14.5,96,25,4,100,0.25,68.03,80.41,0.91,0.8,893,0.6000000000000001,155,2.2,0.0,0.0,273.0
21,Telus Spark,594148,220 ST GEORGES DR NE,21/11/2017 11:00,3.876,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-21 11:00:00,2017-11-21 11:00:00,2017,11,21,10,30,-6.9,1.41,0.021,0.62,49,799,253,4,8,-12.0,131,15,4,135,0.248,66.75,75.2,0.9,0.8,893,0.6000000000000001,158,2.4000000000000004,6.5901,5.0627,273.0
22,Telus Spark,594148,220 ST GEORGES DR NE,21/11/2017 12:00,4.395,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-21 12:00:00,2017-11-21 12:00:00,2017,11,21,11,30,-4.6000000000000005,1.39,0.021,0.62,54,850,317,4,8,-9.5,118,4,4,119,0.246,68.39,71.99,0.9,0.8,892,0.6000000000000001,158,2.3000000000000003,5.9821,4.62,273.0
23,Telus Spark,594148,220 ST GEORGES DR NE,21/11/2017 13:00,2.802,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-21 13:00:00,2017-11-21 13:00:00,2017,11,21,12,30,-3.3000000000000003,1.38,0.02,0.62,55,857,332,4,8,-7.4,128,4,4,129,0.244,73.34,71.11,0.9,0.8,891,0.7000000000000001,156,2.2,6.5378,5.0554,273.0
24,Telus Spark,594148,220 ST GEORGES DR NE,21/11/2017 14:00,2.05,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-21 14:00:00,2017-11-21 14:00:00,2017,11,21,13,30,-2.8000000000000003,1.37,0.021,0.62,53,827,300,4,6,-5.9,84,1,4,84,0.243,79.28,72.64,0.91,0.8,890,0.8,148,2.1,4.1971,3.2383,273.0
25,Telus Spark,594148,220 ST GEORGES DR NE,21/11/2017 15:00,0.986,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-21 15:00:00,2017-11-21 15:00:00,2017,11,21,14,30,-3.2,1.35,0.022,0.62,47,749,222,4,6,-5.1000000000000005,61,0,4,61,0.243,86.75,76.43,0.92,0.8,890,1.0,141,2.3000000000000003,2.9482,2.2598,273.0
