Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,281075,-,-,-,51.01,-114.1,0,1087,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2019,1,1,0,30,-11.700000000000001,1.35,0.016,0.64,0,0,0,0,8,-16.900000000000002,0,0,0,0,0.365,65.07000000000001,97.53,0.91,0.8,893,0.30000000000000004,268,1.6,0.0000,0.0000
2019,1,1,1,30,-11.8,1.32,0.018000000000000002,0.64,0,0,0,0,8,-17.5,0,0,0,0,0.363,62.730000000000004,106.25,0.92,0.8,892,0.30000000000000004,269,2,0.0000,0.0000
2019,1,1,2,30,-11.8,1.32,0.017,0.64,0,0,0,0,8,-18,0,0,0,0,0.359,60.26,115.49000000000001,0.92,0.8,891,0.30000000000000004,267,2.2,0.0000,0.0000
2019,1,1,3,30,-11.5,1.33,0.016,0.64,0,0,0,0,8,-18.1,0,0,33,0,0.355,58.03,124.91,0.92,0.8,891,0.4,264,2.3000000000000003,0.0000,0.0000
2019,1,1,4,30,-11.100000000000001,1.34,0.017,0.64,0,0,0,0,8,-17.900000000000002,0,0,0,0,0.352,57.050000000000004,134.1,0.92,0.8,890,0.4,262,2.4000000000000004,0.0000,0.0000
2019,1,1,5,30,-10.5,1.36,0.015,0.64,0,0,0,0,8,-17.400000000000002,0,0,0,0,0.35000000000000003,56.88,142.46,0.92,0.8,889,0.5,262,2.5,0.0000,0.0000
2019,1,1,6,30,-9.9,1.35,0.016,0.64,0,0,0,0,7,-16.8,0,0,0,0,0.34800000000000003,56.88,148.93,0.93,0.8,888,0.6000000000000001,262,2.6,0.0000,0.0000
2019,1,1,7,30,-8.9,1.31,0.018000000000000002,0.64,0,0,0,0,6,-16.1,0,0,0,0,0.34400000000000003,55.94,151.95000000000002,0.9400000000000001,0.8,887,0.8,265,2.8000000000000003,0.0000,0.0000
2019,1,1,8,30,-7.7,1.27,0.019,0.64,0,0,0,0,6,-14.5,0,0,0,0,0.336,57.980000000000004,150.36,0.9400000000000001,0.8,886,1,268,3,0.0000,0.0000
2019,1,1,9,30,-7,1.24,0.018000000000000002,0.64,0,0,0,0,9,-12.5,0,0,0,0,0.327,64.82000000000001,144.81,0.9400000000000001,0.8,886,1.1,267,3.1,0.0000,0.0000
