Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,277875,-,-,-,51.09,-114.26,-7,1158,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2020,1,1,0,0,-1.7000000000000002,1.4000000000000001,0.017,0.64,0,0,0,0,7,-4.1000000000000005,0,0,0,0,0.359,83.95,150.87,0.9,0.6900000000000001,860,1.1,256,1.1,0.0000,0.0000
2020,1,1,0,30,-1.4000000000000001,1.4000000000000001,0.017,0.64,0,0,0,0,7,-4.1000000000000005,0,0,0,0,0.359,82.02,151.86,0.9,0.6900000000000001,859,1.1,255,1.1,0.0000,0.0000
2020,1,1,1,0,-1.1,1.37,0.02,0.64,0,0,0,0,7,-3.2,0,0,0,0,0.359,85.52,151.68,0.91,0.6900000000000001,859,1.1,254,1.1,0.0000,0.0000
2020,1,1,1,30,-0.9,1.37,0.02,0.64,0,0,0,0,7,-3.2,0,0,0,0,0.359,84.28,150.33,0.91,0.6900000000000001,859,1.1,255,1,0.0000,0.0000
2020,1,1,2,0,-0.7000000000000001,1.37,0.022,0.64,0,0,0,0,7,-2.6,0,0,0,0,0.36,87.01,147.98,0.91,0.6900000000000001,858,1.1,255,1,0.0000,0.0000
2020,1,1,2,30,-0.8,1.37,0.022,0.64,0,0,0,0,7,-2.6,0,0,0,0,0.361,87.65,144.83,0.91,0.6900000000000001,858,1.1,258,0.9,0.0000,0.0000
2020,1,1,3,0,-0.8,1.37,0.023,0.64,0,0,0,0,7,-2.6,0,0,0,0,0.362,87.78,141.11,0.91,0.6900000000000001,858,1.1,260,0.9,0.0000,0.0000
2020,1,1,3,30,-0.8,1.37,0.023,0.64,0,0,0,0,6,-2.6,0,0,0,0,0.363,87.68,136.98,0.91,0.6900000000000001,857,1,264,0.9,0.0000,0.0000
2020,1,1,4,0,-0.8,1.35,0.024,0.64,0,0,0,0,7,-2.5,0,0,0,0,0.364,88.39,132.58,0.91,0.6900000000000001,857,1,268,0.8,0.0000,0.0000
2020,1,1,4,30,-0.8,1.35,0.024,0.64,0,0,0,0,7,-2.5,0,0,0,0,0.364,88.39,128.01,0.91,0.6900000000000001,857,1,273,0.8,0.0000,0.0000
2020,1,1,5,0,-0.7000000000000001,1.32,0.026000000000000002,0.64,0,0,0,0,7,-2.2,0,0,0,0,0.365,89.56,123.34,0.92,0.6900000000000001,857,1,278,0.8,0.0000,0.0000
2020,1,1,5,30,-0.6000000000000001,1.32,0.026000000000000002,0.64,0,0,0,0,7,-2.2,0,0,0,0,0.365,88.9,118.63,0.92,0.6900000000000001,857,1,285,0.8,0.0000,0.0000
2020,1,1,6,0,-0.6000000000000001,1.31,0.029,0.64,0,0,0,0,7,-2,0,0,0,0,0.366,90.56,113.94,0.92,0.6900000000000001,857,1.1,292,0.8,0.0000,0.0000
2020,1,1,6,30,-0.4,1.31,0.029,0.64,0,0,0,0,7,-1.9000000000000001,0,0,0,0,0.366,89.36,109.31,0.93,0.6900000000000001,858,1.1,301,0.8,0.0000,0.0000
2020,1,1,7,0,-0.30000000000000004,1.29,0.032,0.64,0,0,0,0,7,-1.5,0,0,0,0,0.366,91.42,104.77,0.93,0.6900000000000001,858,1.1,309,0.8,0.0000,0.0000
2020,1,1,7,30,-0.30000000000000004,1.29,0.032,0.64,0,0,0,0,8,-1.5,0,0,0,0,0.367,91.42,100.39,0.93,0.6900000000000001,858,1.1,318,0.8,0.0000,0.0000
2020,1,1,8,0,-0.30000000000000004,1.26,0.037,0.64,0,0,0,0,7,-1.2000000000000002,0,0,0,0,0.367,93.37,96.18,0.9400000000000001,0.6900000000000001,859,1,326,0.8,0.0000,0.0000
2020,1,1,8,30,-0.2,1.26,0.037,0.64,0,0,0,0,7,-1.2000000000000002,0,0,0,0,0.368,92.69,92.2,0.9400000000000001,0.6900000000000001,859,1,330,0.8,0.0000,0.0000
2020,1,1,9,0,-0.2,1.24,0.039,0.64,13,185,19,7,7,-1.1,10,0,100,10,0.368,93.79,88.21000000000001,0.9400000000000001,0.6900000000000001,860,1,334,0.9,0.0000,0.0000
2020,1,1,9,30,0,1.24,0.039,0.64,28,436,66,7,4,-1.1,33,1,100,33,0.368,92.44,84.96000000000001,0.9400000000000001,0.6900000000000001,860,1,334,0.9,0.0000,0.0000
2020,1,1,10,0,0.2,1.21,0.039,0.64,36,563,115,7,7,-0.8,38,0,100,38,0.369,93.31,81.98,0.9400000000000001,0.6900000000000001,861,1,333,0.9,0.0000,0.0000
2020,1,1,10,30,0.4,1.21,0.039,0.64,44,643,162,7,7,-0.8,60,2,100,60,0.369,91.97,79.4,0.9400000000000001,0.6900000000000001,861,1,335,1,2.8599,2.1810
2020,1,1,11,0,0.7000000000000001,1.21,0.042,0.64,50,695,203,7,7,-0.30000000000000004,105,10,100,107,0.368,92.82000000000001,77.27,0.9500000000000001,0.6900000000000001,862,1,337,1.1,5.1415,3.9348
2020,1,1,11,30,0.8,1.21,0.042,0.64,54,732,235,7,8,-0.30000000000000004,120,29,100,127,0.368,92.16,75.65,0.9500000000000001,0.6900000000000001,862,1,342,1.2000000000000002,6.1760,4.7407
2020,1,1,12,0,0.9,1.23,0.039,0.64,55,759,257,1,8,-0.1,117,316,17,201,0.367,92.83,74.58,0.9500000000000001,0.6900000000000001,863,0.9,346,1.2000000000000002,9.8655,7.5873
2020,1,1,12,30,0.9,1.23,0.039,0.64,55,774,267,0,7,-0.1,81,2,0,82,0.367,92.83,74.08,0.9400000000000001,0.6900000000000001,863,0.9,347,1,4.0429,3.1120
2020,1,1,13,0,0.9,1.26,0.031,0.64,52,783,266,0,7,-0.1,85,2,0,86,0.366,92.94,74.17,0.9400000000000001,0.6900000000000001,863,0.9,349,0.9,4.2367,3.2606
2020,1,1,13,30,1,1.26,0.031,0.64,51,773,253,2,7,-0.1,77,1,33,77,0.365,92.27,74.84,0.93,0.6900000000000001,863,0.9,343,0.6000000000000001,3.7706,2.8985
2020,1,1,14,0,1,1.29,0.028,0.64,47,755,229,7,7,-0.2,85,3,100,86,0.364,91.86,76.07000000000001,0.93,0.6900000000000001,863,0.9,338,0.4,4.1680,3.1969
