Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,281872,-,-,-,51.09,-114.06,-7,1072,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2023,1,1,0,30,-5.2,1.47,0.014,0.64,0,0,0,8,3,-7,0,0,100,0,0.328,86.86,151.85,0.87,0.8,880,0.7000000000000001,266,1.9000000000000001,0.0000,0.0000
2023,1,1,1,30,-5.5,1.51,0.018000000000000002,0.64,0,0,0,8,3,-7.300000000000001,0,0,100,0,0.33,86.93,150.27,0.89,0.8,880,0.7000000000000001,271,1.9000000000000001,0.0000,0.0000
2023,1,1,2,30,-5.9,1.54,0.024,0.64,0,0,0,8,3,-7.7,0,0,100,0,0.33,87.31,144.74,0.9,0.8,881,0.7000000000000001,276,1.8,0.0000,0.0000
2023,1,1,3,30,-6.300000000000001,1.58,0.029,0.64,0,0,0,8,3,-8.1,0,0,100,0,0.33,87.23,136.87,0.91,0.8,882,0.7000000000000001,281,1.8,0.0000,0.0000
2023,1,1,4,30,-6.9,1.62,0.035,0.64,0,0,0,8,3,-8.6,0,0,100,0,0.33,87.49,127.88000000000001,0.92,0.8,882,0.7000000000000001,284,1.7000000000000002,0.0000,0.0000
2023,1,1,5,30,-7.800000000000001,1.68,0.039,0.64,0,0,0,8,3,-9.600000000000001,0,0,100,0,0.33,86.7,118.5,0.91,0.8,883,0.7000000000000001,282,1.7000000000000002,0.0000,0.0000
2023,1,1,6,30,-8.5,1.73,0.042,0.64,0,0,0,8,0,-10.8,0,0,100,0,0.329,83.2,109.18,0.91,0.8,883,0.6000000000000001,275,1.7000000000000002,0.0000,0.0000
2023,1,1,7,30,-8.8,1.77,0.044,0.64,0,0,0,8,0,-11.5,0,0,100,0,0.327,80.73,100.27,0.91,0.8,884,0.6000000000000001,270,1.7000000000000002,0.0000,0.0000
2023,1,1,8,30,-8.6,1.79,0.046,0.64,0,0,0,8,0,-11.8,0,0,100,0,0.327,77.55,92.09,0.91,0.8,884,0.6000000000000001,267,1.7000000000000002,0.0000,0.0000
2023,1,1,9,30,-7.300000000000001,1.78,0.05,0.64,29,447,69,8,0,-11.100000000000001,29,447,100,69,0.329,74.3,84.86,0.91,0.8,885,0.6000000000000001,265,1.8,0.0000,0.0000
