Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,281873,-,-,-,51.05,-114.06,-7,1067,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.1.dev11+g50a59bd
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2002,1,1,0,30,-15.4,1.25,0.01,0.64,0,0,0,0,8,-19,0,0,0,0,0.372,73.66,151.9,0.89,0.8,896,0.2,165,1.5,0.0000,0.0000
2002,1,1,1,30,-15.4,1.24,0.01,0.64,0,0,0,0,8,-19.3,0,0,0,0,0.372,71.84,150.31,0.89,0.8,896,0.2,166,1.5,0.0000,0.0000
2002,1,1,2,30,-15.600000000000001,1.25,0.01,0.64,0,0,0,0,8,-19.700000000000003,0,0,0,0,0.37,70.61,144.77,0.89,0.8,896,0.2,170,1.5,0.0000,0.0000
2002,1,1,3,30,-15.700000000000001,1.25,0.01,0.64,0,0,0,0,8,-20,0,0,0,0,0.366,69.39,136.89000000000001,0.88,0.8,896,0.2,174,1.5,0.0000,0.0000
2002,1,1,4,30,-15.700000000000001,1.25,0.01,0.64,0,0,0,0,8,-20.200000000000003,0,0,0,0,0.361,68.61,127.9,0.88,0.8,896,0.2,178,1.5,0.0000,0.0000
2002,1,1,5,30,-15.5,1.25,0.01,0.64,0,0,0,0,7,-20,0,0,0,0,0.357,68.17,118.51,0.87,0.8,895,0.2,182,1.5,0.0000,0.0000
2002,1,1,6,30,-15.200000000000001,1.25,0.01,0.64,0,0,0,0,8,-19.8,0,0,0,0,0.354,68.14,109.18,0.87,0.8,895,0.2,185,1.5,0.0000,0.0000
2002,1,1,7,30,-15,1.24,0.01,0.64,0,0,0,0,7,-19.400000000000002,0,0,0,0,0.353,69.38,100.25,0.86,0.8,895,0.2,185,1.5,0.0000,0.0000
2002,1,1,8,30,-14.4,1.24,0.01,0.64,0,0,0,0,7,-19.1,0,0,0,0,0.35100000000000003,67.75,92.07000000000001,0.86,0.8,894,0.2,184,1.5,0.0000,0.0000
2002,1,1,9,30,-12.4,1.24,0.01,0.64,22,607,77,7,8,-18,50,8,7,51,0.34900000000000003,63.11,84.82000000000001,0.87,0.8,894,0.2,184,1.6,0.0000,0.0000
2002,1,1,10,30,-9.200000000000001,1.24,0.01,0.64,34,790,181,0,1,-15.100000000000001,34,790,0,181,0.34600000000000003,62.29,79.27,0.87,0.8,893,0.2,179,1.8,8.6283,6.5811
2002,1,1,11,30,-6.7,1.23,0.01,0.64,40,867,256,0,1,-12,40,867,0,256,0.342,65.87,75.55,0.88,0.8,892,0.2,171,2.3000000000000003,12.4597,9.5658
2002,1,1,12,30,-5.300000000000001,1.23,0.01,0.64,42,893,289,0,0,-10,42,893,0,289,0.337,69.47,74,0.88,0.8,891,0.2,164,2.6,14.2593,10.9775
2002,1,1,13,30,-4.6000000000000005,1.22,0.01,0.64,41,881,273,0,0,-8.5,41,881,0,273,0.331,74.2,74.78,0.89,0.8,890,0.2,158,2.6,13.3756,10.2832
2002,1,1,14,30,-5.2,1.21,0.01,0.64,37,826,211,0,0,-7.7,37,826,0,211,0.324,82.75,77.81,0.89,0.8,889,0.2,157,2.2,10.1073,7.7275
2002,1,1,15,30,-7.1000000000000005,1.19,0.01,0.64,27,690,114,0,1,-8.3,27,690,0,114,0.319,91.27,82.8,0.89,0.8,889,0.2,161,1.8,0.0000,0.0000
2002,1,1,16,30,-8.5,1.19,0.01,0.64,0,0,0,7,4,-9.8,0,0,7,0,0.316,90.65,89.16,0.89,0.8,888,0.2,171,1.9000000000000001,0.0000,0.0000
2002,1,1,17,30,-9.1,1.2,0.01,0.64,0,0,0,0,4,-10.200000000000001,0,0,0,0,0.313,91.47,97.42,0.89,0.79,888,0.2,186,2,0.0000,0.0000
2002,1,1,18,30,-9.600000000000001,1.21,0.01,0.64,0,0,0,0,8,-10.8,0,0,0,0,0.309,90.73,106.13,0.89,0.79,888,0.2,204,1.9000000000000001,0.0000,0.0000
2002,1,1,19,30,-9.5,1.21,0.01,0.64,0,0,0,0,8,-11.200000000000001,0,0,0,0,0.307,87.25,115.36,0.9,0.79,887,0.30000000000000004,223,2,0.0000,0.0000
2002,1,1,20,30,-9.1,1.21,0.01,0.64,0,0,0,0,8,-11.200000000000001,0,0,0,0,0.306,84.46000000000001,124.77,0.9,0.79,886,0.30000000000000004,241,2.1,0.0000,0.0000
2002,1,1,21,30,-8.5,1.22,0.01,0.64,0,0,0,0,8,-11.200000000000001,0,0,0,0,0.306,80.82000000000001,133.95,0.9,0.79,886,0.30000000000000004,252,2.1,0.0000,0.0000
2002,1,1,22,30,-8.200000000000001,1.24,0.01,0.64,0,0,0,0,4,-11.100000000000001,0,0,0,0,0.307,79.81,142.29,0.9,0.79,885,0.30000000000000004,260,2.1,0.0000,0.0000
2002,1,1,23,30,-8.1,1.24,0.01,0.64,0,0,0,0,4,-11,0,0,0,0,0.308,79.88,148.76,0.9,0.79,885,0.30000000000000004,266,2,0.0000,0.0000
2002,1,2,0,30,-8.1,1.25,0.01,0.64,0,0,0,0,4,-10.9,0,0,0,0,0.308,80.07000000000001,151.8,0.89,0.79,885,0.4,270,2,0.0000,0.0000
2002,1,2,1,30,-7.6000000000000005,1.26,0.01,0.64,0,0,0,0,4,-10.700000000000001,0,0,0,0,0.308,78.47,150.25,0.9,0.79,884,0.6000000000000001,273,1.9000000000000001,0.0000,0.0000
2002,1,2,2,30,-6.6000000000000005,1.27,0.01,0.64,0,0,0,1,1,-10.100000000000001,0,0,1,0,0.308,76.13,144.75,0.91,0.79,884,0.8,274,1.9000000000000001,0.0000,0.0000
2002,1,2,3,30,-5.6000000000000005,1.28,0.01,0.64,0,0,0,0,4,-9.200000000000001,0,0,0,0,0.307,75.65,136.89000000000001,0.92,0.79,883,1,275,1.8,0.0000,0.0000
2002,1,2,4,30,-4.7,1.28,0.01,0.64,0,0,0,0,4,-8.3,0,0,0,0,0.306,76.17,127.9,0.92,0.79,883,1.2000000000000002,275,1.8,0.0000,0.0000
2002,1,2,5,30,-4.2,1.29,0.01,0.64,0,0,0,0,4,-7.5,0,0,0,0,0.305,77.65,118.52,0.93,0.79,883,1.3,277,1.7000000000000002,0.0000,0.0000
2002,1,2,6,30,-3.9000000000000004,1.3,0.01,0.64,0,0,0,0,4,-7.1000000000000005,0,0,0,0,0.303,78.61,109.18,0.93,0.79,883,1.4000000000000001,280,1.7000000000000002,0.0000,0.0000
2002,1,2,7,30,-3.6,1.29,0.01,0.64,0,0,0,0,7,-6.6000000000000005,0,0,0,0,0.302,79.41,100.25,0.93,0.79,883,1.4000000000000001,284,1.6,0.0000,0.0000
2002,1,2,8,30,-3,1.29,0.01,0.64,0,0,0,0,7,-6.2,0,0,0,0,0.299,78.44,92.05,0.93,0.79,883,1.5,287,1.6,0.0000,0.0000
2002,1,2,9,30,-1.7000000000000002,1.28,0.011,0.64,22,509,68,7,7,-5.5,51,38,7,54,0.296,75.18,84.8,0.93,0.79,883,1.5,288,1.6,0.0000,0.0000
