Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,282671,-,-,-,51.09,-114.02,-7,1072,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2024,1,1,0,30,-0.1,1.26,0.03,0.64,0,0,0,0,7,-0.4,0,0,0,0,0.352,97.76,151.88,0.9400000000000001,0.19,889,1,312,2.3000000000000003,0.0000,0.0000
2024,1,1,1,30,-0.4,1.33,0.025,0.64,0,0,0,0,7,-0.7000000000000001,0,0,0,0,0.35100000000000003,98,150.26,0.93,0.19,890,0.9,315,1.9000000000000001,0.0000,0.0000
2024,1,1,2,30,-1,1.3900000000000001,0.023,0.64,0,0,0,0,4,-1,0,0,0,0,0.35000000000000003,99.83,144.71,0.92,0.19,890,0.8,320,1.7000000000000002,0.0000,0.0000
2024,1,1,3,30,-1.8,1.42,0.02,0.64,0,0,0,0,4,-1.8,0,0,0,0,0.35100000000000003,100,136.83,0.91,0.19,891,0.6000000000000001,322,1.8,0.0000,0.0000
2024,1,1,4,30,-2.5,1.44,0.018000000000000002,0.64,0,0,0,0,4,-2.5,0,0,0,0,0.35100000000000003,99.95,127.84,0.9,0.19,891,0.5,319,1.8,0.0000,0.0000
2024,1,1,5,30,-3.2,1.44,0.016,0.64,0,0,0,0,4,-3.4000000000000004,0,0,0,0,0.352,98.36,118.46000000000001,0.9,0.19,892,0.5,315,1.7000000000000002,0.0000,0.0000
2024,1,1,6,30,-3.7,1.44,0.015,0.64,0,0,0,0,4,-4.3,0,0,0,0,0.354,95.37,109.15,0.89,0.19,892,0.5,310,1.5,0.0000,0.0000
2024,1,1,7,30,-4,1.44,0.015,0.64,0,0,0,0,0,-4.9,0,0,0,0,0.357,93.16,100.24000000000001,0.9,0.19,892,0.4,305,1.4000000000000001,0.0000,0.0000
2024,1,1,8,30,-3.6,1.45,0.015,0.64,0,0,0,0,0,-5.300000000000001,0,0,0,0,0.359,87.73,92.07000000000001,0.9,0.19,892,0.4,300,1.4000000000000001,0.0000,0.0000
2024,1,1,9,30,-1.9000000000000001,1.46,0.015,0.64,23,554,73,0,0,-4.800000000000001,23,554,0,73,0.359,80.43,84.84,0.9,0.19,893,0.4,295,1.5,0.0000,0.0000
2024,1,1,10,30,0.2,1.46,0.016,0.64,35,735,171,0,0,-3.4000000000000004,35,735,0,171,0.357,76.72,79.31,0.9,0.19,893,0.4,292,1.7000000000000002,8.1513,6.2169
2024,1,1,11,30,1.5,1.45,0.016,0.64,40,810,241,0,0,-2.4000000000000004,40,810,0,241,0.355,75.06,75.61,0.91,0.19,893,0.5,296,1.6,11.7237,8.9998
2024,1,1,12,30,2.2,1.43,0.017,0.64,43,834,272,0,0,-2.2,43,834,0,272,0.356,72.79,74.07000000000001,0.91,0.19,893,0.5,306,1.2000000000000002,13.4120,10.3239
2024,1,1,13,30,2.4000000000000004,1.4000000000000001,0.018000000000000002,0.64,42,820,256,0,0,-2.4000000000000004,42,820,0,256,0.357,70.75,74.87,0.92,0.19,892,0.5,329,0.6000000000000001,12.5327,9.6336
