Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,281075,-,-,-,51.01,-114.1,0,1087,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2023,1,1,0,30,-5.9,1.49,0.011,0.64,0,0,0,8,3,-7.800000000000001,0,0,100,0,0.307,86.29,97.53,0.87,0.8,877,0.7000000000000001,261,1.5,0.0000,0.0000
2023,1,1,1,30,-6,1.45,0.011,0.64,0,0,0,8,3,-8.3,0,0,100,0,0.309,83.45,106.26,0.88,0.8,877,0.7000000000000001,261,1.7000000000000002,0.0000,0.0000
2023,1,1,2,30,-5.7,1.42,0.011,0.64,0,0,0,8,3,-8.3,0,0,100,0,0.311,81.93,115.49000000000001,0.88,0.8,878,0.7000000000000001,261,1.9000000000000001,0.0000,0.0000
2023,1,1,3,30,-5.1000000000000005,1.3900000000000001,0.011,0.64,0,0,0,8,3,-7.800000000000001,0,0,100,0,0.314,81.26,124.91,0.88,0.8,878,0.7000000000000001,262,2,0.0000,0.0000
2023,1,1,4,30,-4.800000000000001,1.3900000000000001,0.011,0.64,0,0,0,8,3,-7.300000000000001,0,0,100,0,0.318,82.62,134.1,0.87,0.8,879,0.7000000000000001,263,2,0.0000,0.0000
2023,1,1,5,30,-4.800000000000001,1.4000000000000001,0.01,0.64,0,0,0,8,3,-7.1000000000000005,0,0,100,0,0.322,84,142.46,0.87,0.8,879,0.7000000000000001,263,1.9000000000000001,0.0000,0.0000
2023,1,1,6,30,-4.9,1.44,0.011,0.64,0,0,0,8,3,-7.1000000000000005,0,0,100,0,0.325,84.55,148.93,0.86,0.8,879,0.7000000000000001,264,1.9000000000000001,0.0000,0.0000
2023,1,1,7,30,-5.1000000000000005,1.48,0.013000000000000001,0.64,0,0,0,8,3,-7.300000000000001,0,0,100,0,0.328,84.71000000000001,151.95000000000002,0.87,0.8,880,0.7000000000000001,266,1.8,0.0000,0.0000
2023,1,1,8,30,-5.4,1.52,0.016,0.64,0,0,0,8,3,-7.6000000000000005,0,0,100,0,0.33,84.63,150.36,0.89,0.8,880,0.7000000000000001,271,1.8,0.0000,0.0000
2023,1,1,9,30,-5.6000000000000005,1.54,0.021,0.64,0,0,0,8,3,-7.9,0,0,100,0,0.33,84.09,144.81,0.9,0.8,881,0.7000000000000001,276,1.7000000000000002,0.0000,0.0000
2023,1,1,10,30,-5.9,1.57,0.027,0.64,0,0,0,8,3,-8.1,0,0,100,0,0.33,84.26,136.92000000000002,0.91,0.8,882,0.7000000000000001,281,1.7000000000000002,0.0000,0.0000
2023,1,1,11,30,-6.5,1.61,0.032,0.64,0,0,0,8,3,-8.5,0,0,100,0,0.33,85.4,127.91,0.92,0.8,882,0.7000000000000001,284,1.6,0.0000,0.0000
2023,1,1,12,30,-7.4,1.67,0.037,0.64,0,0,0,8,3,-9.5,0,0,100,0,0.33,85.06,118.51,0.91,0.8,883,0.7000000000000001,282,1.6,0.0000,0.0000
2023,1,1,13,30,-8.1,1.72,0.041,0.64,0,0,0,8,3,-10.700000000000001,0,0,100,0,0.328,81.54,109.17,0.91,0.8,883,0.6000000000000001,275,1.6,0.0000,0.0000
2023,1,1,14,30,-8.4,1.76,0.043000000000000003,0.64,0,0,0,8,0,-11.3,0,0,100,0,0.327,79.28,100.24000000000001,0.91,0.8,884,0.6000000000000001,270,1.6,0.0000,0.0000
