Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,281075,-,-,-,51.01,-114.1,0,1087,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2024,1,1,0,30,0.5,1.23,0.037,0.64,0,0,0,0,8,0.5,0,0,0,0,0.355,99.93,97.56,0.96,0.68,886,1.2000000000000002,298,1.2000000000000002,0.0000,0.0000
2024,1,1,1,30,0.6000000000000001,1.2,0.04,0.64,0,0,0,0,7,0.2,0,0,0,0,0.355,97.42,106.29,0.96,0.68,887,1.2000000000000002,297,1.3,0.0000,0.0000
2024,1,1,2,30,0.7000000000000001,1.18,0.039,0.64,0,0,0,0,7,0.1,0,0,0,0,0.354,95.58,115.53,0.96,0.68,887,1.2000000000000002,294,1.3,0.0000,0.0000
2024,1,1,3,30,0.6000000000000001,1.17,0.043000000000000003,0.64,0,0,0,0,7,-0.1,0,0,0,0,0.353,95.07000000000001,124.94,0.96,0.68,887,1.2000000000000002,294,1.4000000000000001,0.0000,0.0000
2024,1,1,4,30,0.6000000000000001,1.16,0.044,0.64,0,0,0,0,7,-0.2,0,0,0,0,0.353,94.49,134.13,0.96,0.68,887,1.2000000000000002,297,1.6,0.0000,0.0000
2024,1,1,5,30,0.4,1.17,0.039,0.64,0,0,0,0,7,-0.2,0,0,0,0,0.353,95.43,142.49,0.96,0.68,888,1.1,297,1.8,0.0000,0.0000
2024,1,1,6,30,0.2,1.2,0.039,0.64,0,0,0,0,6,-0.6000000000000001,0,0,0,0,0.352,94.56,148.96,0.96,0.68,888,1.1,295,1.9000000000000001,0.0000,0.0000
2024,1,1,7,30,0,1.25,0.033,0.64,0,0,0,0,7,-0.7000000000000001,0,0,0,0,0.35100000000000003,94.9,151.97,0.9500000000000001,0.68,888,1,295,1.8,0.0000,0.0000
2024,1,1,8,30,-0.30000000000000004,1.33,0.027,0.64,0,0,0,0,8,-1,0,0,0,0,0.35000000000000003,94.72,150.37,0.93,0.68,889,0.9,298,1.5,0.0000,0.0000
2024,1,1,9,30,-0.9,1.3800000000000001,0.025,0.64,0,0,0,0,4,-1.4000000000000001,0,0,0,0,0.35000000000000003,96.31,144.82,0.92,0.68,890,0.8,308,1.3,0.0000,0.0000
2024,1,1,10,30,-1.6,1.42,0.022,0.64,0,0,0,0,4,-2.1,0,0,0,0,0.35000000000000003,96.61,136.92000000000002,0.92,0.68,890,0.7000000000000001,313,1.3,0.0000,0.0000
2024,1,1,11,30,-2.4000000000000004,1.45,0.019,0.64,0,0,0,0,4,-2.8000000000000003,0,0,0,0,0.35000000000000003,97.25,127.91,0.91,0.68,891,0.6000000000000001,308,1.3,0.0000,0.0000
2024,1,1,12,30,-3,1.44,0.018000000000000002,0.64,0,0,0,0,4,-3.5,0,0,0,0,0.35100000000000003,96,118.51,0.91,0.68,891,0.5,299,1.2000000000000002,0.0000,0.0000
2024,1,1,13,30,-3.4000000000000004,1.44,0.016,0.64,0,0,0,0,4,-4.3,0,0,0,0,0.353,93.3,109.17,0.91,0.68,891,0.5,289,1.2000000000000002,0.0000,0.0000
2024,1,1,14,30,-3.7,1.44,0.016,0.64,0,0,0,0,0,-4.9,0,0,0,0,0.356,91.63,100.24000000000001,0.91,0.68,891,0.5,279,1.1,0.0000,0.0000
2024,1,1,15,30,-3.3000000000000003,1.45,0.016,0.64,0,0,0,0,0,-5.2,0,0,0,0,0.358,86.41,92.05,0.91,0.68,892,0.5,271,1.1,0.0000,0.0000
2024,1,1,16,30,-1.5,1.46,0.017,0.64,24,540,73,0,0,-4.6000000000000005,24,540,0,73,0.357,79.15,84.8,0.91,0.68,892,0.5,266,1.3,0.0000,0.0000
2024,1,1,17,30,0.5,1.46,0.017,0.64,37,730,173,0,0,-3.3000000000000003,37,730,0,173,0.355,75.86,79.25,0.91,0.68,892,0.5,265,1.4000000000000001,8.2471,6.2906
2024,1,1,18,30,1.8,1.46,0.017,0.64,44,809,246,0,0,-2.3000000000000003,44,809,0,246,0.355,74.25,75.52,0.92,0.68,892,0.5,265,1.3,11.9760,9.1949
2024,1,1,19,30,2.5,1.43,0.018000000000000002,0.64,48,835,278,0,0,-2,48,835,0,278,0.355,72.27,73.98,0.92,0.68,892,0.5,265,1.1,13.7191,10.5619
2024,1,1,20,30,2.6,1.4000000000000001,0.018000000000000002,0.64,46,822,262,0,0,-2.1,46,822,0,262,0.356,71.23,74.76,0.92,0.68,892,0.5,262,0.7000000000000001,12.8389,9.8709
2024,1,1,21,30,1.8,1.3800000000000001,0.017,0.64,39,765,201,0,0,-1.2000000000000002,39,765,0,201,0.357,80.75,77.8,0.91,0.68,891,0.5,251,0.5,9.6288,7.3618
2024,1,1,22,30,0.1,1.35,0.016,0.64,30,622,108,0,0,-2.7,30,622,0,108,0.356,81.73,82.8,0.91,0.68,891,0.5,239,0.7000000000000001,0.0000,0.0000
2024,1,1,23,30,-1.7000000000000002,1.33,0.017,0.64,6,116,8,0,0,-4.1000000000000005,6,116,0,8,0.354,83.92,89.17,0.92,0.68,892,0.5,240,0.8,0.0000,0.0000
2024,1,2,0,30,-2.9000000000000004,1.31,0.017,0.64,0,0,0,0,0,-4.800000000000001,0,0,0,0,0.35000000000000003,86.67,97.43,0.92,0.78,891,0.5,246,0.9,0.0000,0.0000
2024,1,2,1,30,-3.4000000000000004,1.3,0.016,0.64,0,0,0,0,0,-5.5,0,0,0,0,0.34600000000000003,85.54,106.15,0.91,0.78,891,0.5,252,1.2000000000000002,0.0000,0.0000
2024,1,2,2,30,-3.9000000000000004,1.29,0.015,0.64,0,0,0,0,0,-6.2,0,0,0,0,0.343,84.29,115.39,0.91,0.78,891,0.5,256,1.5,0.0000,0.0000
2024,1,2,3,30,-4.5,1.28,0.014,0.64,0,0,0,0,0,-7.1000000000000005,0,0,0,0,0.342,82.25,124.81,0.91,0.78,891,0.5,258,1.8,0.0000,0.0000
2024,1,2,4,30,-4.800000000000001,1.26,0.015,0.64,0,0,0,0,0,-7.9,0,0,0,0,0.341,78.69,134,0.91,0.78,890,0.5,259,1.9000000000000001,0.0000,0.0000
2024,1,2,5,30,-4.800000000000001,1.26,0.015,0.64,0,0,0,0,7,-8.5,0,0,0,0,0.34,75.13,142.36,0.91,0.78,890,0.5,260,1.9000000000000001,0.0000,0.0000
2024,1,2,6,30,-4.6000000000000005,1.25,0.015,0.64,0,0,0,0,7,-8.8,0,0,0,0,0.339,72.72,148.84,0.91,0.78,890,0.5,261,1.9000000000000001,0.0000,0.0000
2024,1,2,7,30,-4.5,1.26,0.016,0.64,0,0,0,0,7,-8.8,0,0,0,0,0.338,71.8,151.88,0.92,0.78,890,0.5,263,1.9000000000000001,0.0000,0.0000
2024,1,2,8,30,-4.6000000000000005,1.28,0.016,0.64,0,0,0,0,7,-8.8,0,0,0,0,0.34,72.52,150.32,0.92,0.78,889,0.5,267,1.8,0.0000,0.0000
2024,1,2,9,30,-4.9,1.31,0.017,0.64,0,0,0,0,7,-8.700000000000001,0,0,0,0,0.342,74.66,144.8,0.92,0.78,890,0.5,271,1.7000000000000002,0.0000,0.0000
2024,1,2,10,30,-5.4,1.32,0.017,0.64,0,0,0,0,7,-8.8,0,0,0,0,0.34400000000000003,76.76,136.92000000000002,0.92,0.78,890,0.5,275,1.7000000000000002,0.0000,0.0000
2024,1,2,11,30,-5.7,1.32,0.019,0.64,0,0,0,0,7,-9,0,0,0,0,0.34600000000000003,77.25,127.92,0.92,0.78,890,0.5,278,1.7000000000000002,0.0000,0.0000
2024,1,2,12,30,-5.6000000000000005,1.31,0.019,0.64,0,0,0,0,8,-9.3,0,0,0,0,0.34900000000000003,74.95,118.52,0.92,0.78,890,0.5,281,1.8,0.0000,0.0000
