Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,281075,-,-,-,51.01,-114.1,-7,1087,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2018,1,1,0,0,-26.5,1.27,0.013000000000000001,0.64,0,0,0,0,0,-30,0,0,0,0,0.398,72.46000000000001,150.94,0.85,0.8,896,0.1,303,1.2000000000000002,0.0000,0.0000
2018,1,1,0,30,-26.200000000000003,1.27,0.013000000000000001,0.64,0,0,0,0,8,-30,0,0,0,0,0.397,70.49,151.92000000000002,0.85,0.8,896,0.1,302,1.3,0.0000,0.0000
2018,1,1,1,0,-26,1.26,0.012,0.64,0,0,0,0,0,-29.400000000000002,0,0,0,0,0.396,73.18,151.71,0.85,0.8,896,0.1,301,1.3,0.0000,0.0000
2018,1,1,1,30,-25.6,1.26,0.012,0.64,0,0,0,0,0,-29.400000000000002,0,0,0,0,0.395,70.56,150.34,0.86,0.8,896,0.1,299,1.4000000000000001,0.0000,0.0000
2018,1,1,2,0,-25.3,1.24,0.012,0.64,0,0,0,0,0,-28.700000000000003,0,0,0,0,0.394,73.22,147.97,0.86,0.8,896,0.1,297,1.5,0.0000,0.0000
2018,1,1,2,30,-24.900000000000002,1.24,0.012,0.64,0,0,0,0,0,-28.700000000000003,0,0,0,0,0.394,70.62,144.81,0.86,0.8,896,0.1,296,1.5,0.0000,0.0000
2018,1,1,3,0,-24.5,1.22,0.012,0.64,0,0,0,0,0,-27.8,0,0,0,0,0.394,74.37,141.07,0.86,0.8,896,0.1,295,1.6,0.0000,0.0000
2018,1,1,3,30,-24.1,1.22,0.012,0.64,0,0,0,0,0,-27.8,0,0,0,0,0.393,71.74,136.92000000000002,0.86,0.8,896,0.1,293,1.6,0.0000,0.0000
2018,1,1,4,0,-23.8,1.2,0.011,0.64,0,0,0,0,0,-27.1,0,0,0,0,0.393,74.34,132.51,0.86,0.8,896,0.1,290,1.6,0.0000,0.0000
2018,1,1,4,30,-23.5,1.2,0.011,0.64,0,0,0,0,0,-27.1,0,0,0,0,0.391,72.38,127.92,0.86,0.8,896,0.1,286,1.6,0.0000,0.0000
2018,1,1,5,0,-23.200000000000003,1.17,0.011,0.64,0,0,0,0,0,-26.6,0,0,0,0,0.389,73.39,123.24000000000001,0.86,0.8,896,0.1,282,1.6,0.0000,0.0000
2018,1,1,5,30,-22.8,1.17,0.011,0.64,0,0,0,0,0,-26.6,0,0,0,0,0.385,70.83,118.53,0.86,0.8,896,0.1,278,1.6,0.0000,0.0000
2018,1,1,6,0,-22.400000000000002,1.1300000000000001,0.011,0.64,0,0,0,0,0,-25.8,0,0,0,0,0.381,73.56,113.83,0.86,0.8,896,0.1,274,1.6,0.0000,0.0000
2018,1,1,6,30,-22,1.1300000000000001,0.011,0.64,0,0,0,0,0,-25.8,0,0,0,0,0.378,70.93,109.19,0.86,0.8,895,0.1,272,1.6,0.0000,0.0000
2018,1,1,7,0,-21.6,1.08,0.011,0.64,0,0,0,0,0,-24.900000000000002,0,0,0,0,0.375,74.78,104.65,0.86,0.8,895,0.1,269,1.6,0.0000,0.0000
2018,1,1,7,30,-21.5,1.08,0.011,0.64,0,0,0,0,0,-24.900000000000002,0,0,0,0,0.373,74.13,100.25,0.87,0.8,895,0.1,266,1.7000000000000002,0.0000,0.0000
2018,1,1,8,0,-21.3,1.04,0.011,0.64,0,0,0,0,8,-24.700000000000003,0,0,0,0,0.372,74.06,96.04,0.87,0.8,895,0.1,263,1.7000000000000002,0.0000,0.0000
2018,1,1,8,30,-20.900000000000002,1.04,0.011,0.64,0,0,0,0,8,-24.700000000000003,0,0,0,0,0.37,71.52,92.06,0.87,0.8,895,0.1,261,1.8,0.0000,0.0000
2018,1,1,9,0,-20.400000000000002,1,0.012,0.64,13,425,28,0,0,-23.8,13,425,0,28,0.368,74,88.04,0.87,0.8,895,0.1,258,1.9000000000000001,0.0000,0.0000
2018,1,1,9,30,-18.900000000000002,1,0.012,0.64,24,620,80,0,0,-23.8,24,620,0,80,0.365,65.04,84.79,0.87,0.8,895,0.1,257,2.1,0.0000,0.0000
2018,1,1,10,0,-17.5,0.97,0.012,0.64,31,734,135,0,0,-21,31,734,0,135,0.362,74.21000000000001,81.82000000000001,0.87,0.8,895,0.1,255,2.2,0.0000,0.0000
2018,1,1,10,30,-15.8,0.97,0.012,0.64,36,807,187,0,0,-21,36,807,0,187,0.359,64.28,79.24,0.87,0.8,894,0.1,253,2.3000000000000003,8.9146,6.7998
2018,1,1,11,0,-14.200000000000001,0.9500000000000001,0.012,0.64,40,853,230,0,0,-17.5,40,853,0,230,0.357,76.34,77.12,0.87,0.8,894,0.1,251,2.4000000000000004,11.0624,8.4683
2018,1,1,11,30,-12.8,0.9500000000000001,0.012,0.64,43,884,264,0,0,-17.5,43,884,0,264,0.354,68.11,75.5,0.87,0.8,894,0.1,250,2.5,12.8544,9.8697
2018,1,1,12,0,-11.5,0.9500000000000001,0.012,0.64,45,902,287,0,0,-14.4,45,902,0,287,0.35100000000000003,79.34,74.44,0.88,0.8,893,0.1,249,2.6,14.1042,10.8498
