Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,281076,-,-,-,50.97,-114.1,-7,1079,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2019,1,1,0,30,-9.1,1.32,0.018000000000000002,0.64,0,0,0,0,6,-16.3,0,0,0,0,0.34500000000000003,56.06,151.97,0.9400000000000001,0.8,887,0.8,265,2.8000000000000003,0.0000,0.0000
2019,1,1,1,30,-7.9,1.27,0.019,0.64,0,0,0,0,6,-14.8,0,0,0,0,0.337,57.72,150.38,0.9400000000000001,0.8,887,1,268,3,0.0000,0.0000
2019,1,1,2,30,-7.1000000000000005,1.24,0.018000000000000002,0.64,0,0,0,0,9,-12.8,0,0,0,0,0.328,63.77,144.83,0.9400000000000001,0.8,886,1.1,267,3.1,0.0000,0.0000
2019,1,1,3,30,-6.4,1.23,0.015,0.64,0,0,0,0,6,-11.200000000000001,0,0,0,0,0.32,68.59,136.93,0.9400000000000001,0.8,885,1.2000000000000002,266,3.4000000000000004,0.0000,0.0000
2019,1,1,4,30,-5.6000000000000005,1.24,0.011,0.64,0,0,0,0,6,-10.200000000000001,0,0,0,0,0.312,69.94,127.92,0.93,0.8,884,1.3,269,3.7,0.0000,0.0000
2019,1,1,5,30,-4.6000000000000005,1.25,0.011,0.64,0,0,0,0,6,-9.600000000000001,0,0,0,0,0.305,68.11,118.51,0.93,0.8,884,1.3,278,4.1000000000000005,0.0000,0.0000
2019,1,1,6,30,-3.8000000000000003,1.3,0.013000000000000001,0.64,0,0,0,0,6,-8.6,0,0,0,0,0.302,69.51,109.17,0.92,0.8,884,1.2000000000000002,287,4.4,0.0000,0.0000
2019,1,1,7,30,-3.5,1.3800000000000001,0.012,0.64,0,0,0,0,7,-7.9,0,0,0,0,0.304,71.42,100.23,0.91,0.8,885,1,289,4.3,0.0000,0.0000
2019,1,1,8,30,-3.2,1.3800000000000001,0.014,0.64,0,0,0,0,8,-7.7,0,0,0,0,0.308,71.32000000000001,92.04,0.9,0.8,885,0.8,287,4.3,0.0000,0.0000
2019,1,1,9,30,-2.7,1.3900000000000001,0.014,0.64,25,533,73,2,0,-7.5,34,374,33,68,0.31,69.66,84.78,0.91,0.8,886,0.7000000000000001,285,4.2,0.0000,0.0000
2019,1,1,10,30,-2,1.36,0.016,0.64,38,726,174,0,0,-7.2,38,726,0,174,0.311,67.59,79.22,0.92,0.8,887,0.6000000000000001,281,3.9000000000000004,8.2951,6.3274
2019,1,1,11,30,-1.5,1.33,0.018000000000000002,0.64,46,797,246,2,0,-7,72,535,33,206,0.311,66.01,75.49,0.92,0.8,886,0.7000000000000001,275,3.6,10.0312,7.7022
2019,1,1,12,30,-1.1,1.33,0.017,0.64,49,824,277,0,0,-6.9,69,551,0,221,0.312,64.7,73.94,0.93,0.8,886,0.7000000000000001,271,3.6,10.9102,8.4000
2019,1,1,13,30,-0.9,1.34,0.018000000000000002,0.64,48,803,260,1,0,-6.800000000000001,57,746,17,254,0.312,64.31,74.72,0.93,0.8,886,0.8,271,3.7,12.4513,9.5736
2019,1,1,14,30,-0.9,1.32,0.019,0.64,43,737,199,5,0,-6.7,84,254,67,138,0.313,64.94,77.75,0.93,0.8,886,0.9,272,3.8000000000000003,6.6126,5.0562
2019,1,1,15,30,-1.3,1.33,0.017,0.64,30,593,105,7,4,-6.7,44,0,100,44,0.313,66.62,82.75,0.93,0.8,885,1,272,3.8000000000000003,0.0000,0.0000
2019,1,1,16,30,-1.8,1.35,0.016,0.64,6,108,8,5,4,-6.9,4,0,67,4,0.312,67.94,89.13,0.93,0.8,885,1.1,272,3.8000000000000003,0.0000,0.0000
2019,1,1,17,30,-2.1,1.34,0.016,0.64,0,0,0,0,4,-7.1000000000000005,0,0,0,0,0.31,68.83,97.39,0.92,0.68,885,1.1,270,3.9000000000000004,0.0000,0.0000
2019,1,1,18,30,-2.4000000000000004,1.37,0.013000000000000001,0.64,0,0,0,0,4,-7.2,0,0,0,0,0.308,69.77,106.11,0.92,0.68,885,1.1,269,4,0.0000,0.0000
2019,1,1,19,30,-2.5,1.37,0.014,0.64,0,0,0,0,4,-7.300000000000001,0,0,0,0,0.307,69.68,115.36,0.92,0.68,885,1.1,270,4,0.0000,0.0000
2019,1,1,20,30,-2.4000000000000004,1.35,0.019,0.64,0,0,0,0,4,-7.300000000000001,0,0,0,0,0.305,69.05,124.78,0.93,0.68,885,1.1,271,4.1000000000000005,0.0000,0.0000
2019,1,1,21,30,-2.2,1.33,0.024,0.64,0,0,0,0,4,-7.2,0,0,0,0,0.302,68.84,133.97,0.9400000000000001,0.68,884,1.1,269,4.1000000000000005,0.0000,0.0000
2019,1,1,22,30,-2,1.31,0.027,0.64,0,0,0,0,7,-6.9,0,0,0,0,0.298,69.38,142.34,0.9400000000000001,0.68,884,1.1,267,4.2,0.0000,0.0000
2019,1,1,23,30,-1.7000000000000002,1.32,0.028,0.64,0,0,0,0,7,-6.6000000000000005,0,0,0,0,0.295,69.33,148.83,0.9400000000000001,0.68,884,1.2000000000000002,266,4.2,0.0000,0.0000
2019,1,2,0,30,-1.4000000000000001,1.34,0.025,0.64,0,0,0,0,0,-6.300000000000001,0,0,0,0,0.293,69.16,151.88,0.9400000000000001,0.68,884,1.2000000000000002,265,4.4,0.0000,0.0000
2019,1,2,1,30,-1,1.35,0.025,0.64,0,0,0,0,0,-6,0,0,0,0,0.292,68.86,150.33,0.9400000000000001,0.68,883,1.3,264,4.5,0.0000,0.0000
2019,1,2,2,30,-0.8,1.34,0.027,0.64,0,0,0,0,0,-5.5,0,0,0,0,0.291,70.49,144.81,0.9400000000000001,0.68,883,1.3,261,4.3,0.0000,0.0000
2019,1,2,3,30,-0.8,1.35,0.028,0.64,0,0,0,0,0,-5.300000000000001,0,0,0,0,0.29,71.58,136.93,0.9400000000000001,0.68,883,1.3,260,4.4,0.0000,0.0000
2019,1,2,4,30,-0.6000000000000001,1.37,0.025,0.64,0,0,0,0,4,-5.2,0,0,0,0,0.28800000000000003,71.23,127.93,0.93,0.68,882,1.3,260,4.6000000000000005,0.0000,0.0000
2019,1,2,5,30,-0.30000000000000004,1.37,0.022,0.64,0,0,0,0,7,-4.9,0,0,0,0,0.28600000000000003,71.02,118.53,0.93,0.68,882,1.3,261,4.6000000000000005,0.0000,0.0000
2019,1,2,6,30,0,1.37,0.021,0.64,0,0,0,0,7,-4.6000000000000005,0,0,0,0,0.28400000000000003,71.27,109.18,0.93,0.68,881,1.3,262,4.5,0.0000,0.0000
2019,1,2,7,30,-0.1,1.3800000000000001,0.02,0.64,0,0,0,0,7,-4.3,0,0,0,0,0.28400000000000003,73.57000000000001,100.23,0.93,0.68,881,1.3,261,4.1000000000000005,0.0000,0.0000
2019,1,2,8,30,-0.2,1.3900000000000001,0.019,0.64,0,0,0,0,6,-4.3,0,0,0,0,0.28400000000000003,74.05,92.02,0.9400000000000001,0.68,880,1.3,260,3.7,0.0000,0.0000
2019,1,2,9,30,0.5,1.37,0.023,0.64,27,474,70,7,9,-4.1000000000000005,20,0,100,20,0.28300000000000003,71.05,84.76,0.9400000000000001,0.68,880,1.3,261,3.6,0.0000,0.0000
2019,1,2,10,30,1.5,1.33,0.029,0.64,43,661,167,7,9,-3.3000000000000003,37,0,100,37,0.28200000000000003,70.16,79.18,0.9500000000000001,0.68,879,1.3,264,3.5,1.7640,1.3456
2019,1,2,11,30,2.3000000000000003,1.29,0.03,0.64,51,748,239,5,9,-2.5,55,0,67,55,0.28,70.65,75.43,0.9500000000000001,0.68,879,1.3,266,3.5,2.6796,2.0577
