Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,281076,-,-,-,50.97,-114.1,-7,1079,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2024,1,1,0,30,0.1,1.24,0.035,0.64,0,0,0,0,7,-0.7000000000000001,0,0,0,0,0.35100000000000003,94.37,151.99,0.9500000000000001,0.67,889,1,295,1.8,0.0000,0.0000
2024,1,1,1,30,-0.2,1.31,0.028,0.64,0,0,0,0,8,-1,0,0,0,0,0.35000000000000003,94.36,150.39000000000001,0.93,0.67,889,1,298,1.5,0.0000,0.0000
2024,1,1,2,30,-0.7000000000000001,1.37,0.026000000000000002,0.64,0,0,0,0,4,-1.3,0,0,0,0,0.35000000000000003,95.43,144.83,0.92,0.67,890,0.8,308,1.3,0.0000,0.0000
2024,1,1,3,30,-1.5,1.42,0.023,0.64,0,0,0,0,4,-2,0,0,0,0,0.35000000000000003,96.71000000000001,136.93,0.92,0.67,891,0.7000000000000001,313,1.3,0.0000,0.0000
2024,1,1,4,30,-2.2,1.44,0.02,0.64,0,0,0,0,4,-2.7,0,0,0,0,0.35000000000000003,96.67,127.91,0.91,0.67,891,0.6000000000000001,308,1.3,0.0000,0.0000
2024,1,1,5,30,-2.9000000000000004,1.45,0.018000000000000002,0.64,0,0,0,0,4,-3.4000000000000004,0,0,0,0,0.35100000000000003,96.18,118.51,0.91,0.67,891,0.5,299,1.2000000000000002,0.0000,0.0000
2024,1,1,6,30,-3.4000000000000004,1.44,0.017,0.64,0,0,0,0,4,-4.2,0,0,0,0,0.353,94.27,109.17,0.91,0.67,892,0.5,289,1.2000000000000002,0.0000,0.0000
2024,1,1,7,30,-3.7,1.44,0.016,0.64,0,0,0,0,0,-4.7,0,0,0,0,0.356,92.43,100.23,0.91,0.67,892,0.5,279,1.1,0.0000,0.0000
2024,1,1,8,30,-3.2,1.45,0.016,0.64,0,0,0,0,0,-5.1000000000000005,0,0,0,0,0.358,86.39,92.04,0.91,0.67,892,0.5,271,1.1,0.0000,0.0000
2024,1,1,9,30,-1.3,1.46,0.017,0.64,25,539,74,0,0,-4.5,25,539,0,74,0.358,78.61,84.79,0.91,0.67,892,0.5,266,1.3,0.0000,0.0000
