Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,282672,-,-,-,51.05,-114.02,-7,1059,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2017,1,1,0,30,-10.9,1.25,0.096,0.64,0,0,0,4,8,-12.100000000000001,0,0,4,0,0.373,90.78,151.86,0.97,0.8,885,0.30000000000000004,23,3.5,0.0000,0.0000
2017,1,1,1,30,-11.5,1.2,0.084,0.64,0,0,0,4,8,-12.9,0,0,4,0,0.374,89.08,150.27,0.97,0.8,886,0.30000000000000004,17,2.9000000000000004,0.0000,0.0000
2017,1,1,2,30,-11.9,1.1400000000000001,0.076,0.64,0,0,0,4,6,-13.5,0,0,4,0,0.374,87.56,144.74,0.97,0.8,886,0.30000000000000004,15,2.5,0.0000,0.0000
2017,1,1,3,30,-12.200000000000001,1.08,0.07200000000000001,0.64,0,0,0,4,6,-13.9,0,0,4,0,0.374,86.92,136.86,0.97,0.8,887,0.30000000000000004,15,2.2,0.0000,0.0000
2017,1,1,4,30,-12.5,1,0.068,0.64,0,0,0,4,8,-14.200000000000001,0,0,4,0,0.375,86.91,127.87,0.97,0.8,887,0.30000000000000004,13,2.1,0.0000,0.0000
2017,1,1,5,30,-12.700000000000001,0.93,0.067,0.64,0,0,0,4,8,-14.5,0,0,4,0,0.377,86.56,118.48,0.97,0.8,888,0.30000000000000004,11,2,0.0000,0.0000
2017,1,1,6,30,-12.9,0.85,0.067,0.64,0,0,0,4,6,-14.700000000000001,0,0,4,0,0.38,86.11,109.15,0.97,0.8,888,0.30000000000000004,8,1.9000000000000001,0.0000,0.0000
2017,1,1,7,30,-13,0.78,0.066,0.64,0,0,0,4,6,-14.9,0,0,4,0,0.384,85.52,100.22,0.98,0.8,889,0.30000000000000004,6,2.1,0.0000,0.0000
2017,1,1,8,30,-13.200000000000001,0.73,0.066,0.64,0,0,0,4,8,-15,0,0,4,0,0.388,86.01,92.04,0.98,0.8,890,0.30000000000000004,4,2.5,0.0000,0.0000
2017,1,1,9,30,-13.200000000000001,0.7000000000000001,0.063,0.64,34,398,70,4,8,-15.200000000000001,42,1,4,42,0.393,85.07000000000001,84.78,0.98,0.8,891,0.30000000000000004,180,2.9000000000000004,0.0000,0.0000
