Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,282672,-,-,-,51.05,-114.02,-7,1059,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2024,1,1,0,30,0.1,1.25,0.031,0.64,0,0,0,0,7,-0.30000000000000004,0,0,0,0,0.352,96.89,151.94,0.9400000000000001,0.17,893,1,312,2.4000000000000004,0.0000,0.0000
2024,1,1,1,30,-0.1,1.32,0.026000000000000002,0.64,0,0,0,0,7,-0.6000000000000001,0,0,0,0,0.35100000000000003,96.45,150.32,0.93,0.17,893,0.9,315,2,0.0000,0.0000
2024,1,1,2,30,-0.7000000000000001,1.3800000000000001,0.023,0.64,0,0,0,0,4,-0.9,0,0,0,0,0.35000000000000003,98.51,144.75,0.92,0.17,894,0.8,320,1.8,0.0000,0.0000
2024,1,1,3,30,-1.4000000000000001,1.42,0.021,0.64,0,0,0,0,4,-1.6,0,0,0,0,0.35100000000000003,98.85000000000001,136.86,0.91,0.17,895,0.7000000000000001,322,1.8,0.0000,0.0000
2024,1,1,4,30,-2.2,1.44,0.018000000000000002,0.64,0,0,0,0,4,-2.3000000000000003,0,0,0,0,0.35100000000000003,98.94,127.85000000000001,0.9,0.17,895,0.6000000000000001,319,1.8,0.0000,0.0000
2024,1,1,5,30,-3,1.44,0.016,0.64,0,0,0,0,4,-3.3000000000000003,0,0,0,0,0.352,97.95,118.46000000000001,0.9,0.17,895,0.5,315,1.7000000000000002,0.0000,0.0000
2024,1,1,6,30,-3.4000000000000004,1.44,0.015,0.64,0,0,0,0,4,-4.2,0,0,0,0,0.354,94.32000000000001,109.13,0.89,0.17,896,0.5,310,1.6,0.0000,0.0000
2024,1,1,7,30,-3.8000000000000003,1.44,0.015,0.64,0,0,0,0,0,-4.800000000000001,0,0,0,0,0.357,92.75,100.21000000000001,0.9,0.17,896,0.5,305,1.5,0.0000,0.0000
2024,1,1,8,30,-3.3000000000000003,1.45,0.015,0.64,0,0,0,0,0,-5.2,0,0,0,0,0.359,86.67,92.03,0.9,0.17,896,0.4,300,1.4000000000000001,0.0000,0.0000
2024,1,1,9,30,-1.6,1.46,0.015,0.64,23,551,73,0,0,-4.7,23,551,0,73,0.359,79.39,84.8,0.9,0.17,896,0.4,295,1.5,0.0000,0.0000
2024,1,1,10,30,0.5,1.46,0.016,0.64,34,732,170,0,0,-3.3000000000000003,34,732,0,170,0.357,75.74,79.26,0.9,0.17,897,0.5,292,1.7000000000000002,8.1040,6.1813
2024,1,1,11,30,1.8,1.45,0.016,0.64,40,810,242,0,0,-2.3000000000000003,40,810,0,242,0.355,74.09,75.55,0.91,0.17,897,0.5,296,1.6,11.7783,9.0426
2024,1,1,12,30,2.5,1.44,0.017,0.64,42,834,272,0,0,-2.1,42,834,0,272,0.356,71.65,74.01,0.91,0.17,896,0.5,306,1.2000000000000002,13.4193,10.3306
2024,1,1,13,30,2.6,1.41,0.019,0.64,42,820,257,0,0,-2.3000000000000003,42,820,0,257,0.357,70.13,74.81,0.92,0.17,896,0.5,329,0.6000000000000001,12.5883,9.6774
2024,1,1,14,30,1.9000000000000001,1.4000000000000001,0.017,0.64,37,762,197,0,0,-1.4000000000000001,37,762,0,197,0.358,79.03,77.85000000000001,0.92,0.17,896,0.5,230,0.30000000000000004,9.4348,7.2128
2024,1,1,15,30,0.4,1.37,0.017,0.64,28,618,105,0,0,-2.9000000000000004,28,618,0,105,0.357,78.65,82.86,0.92,0.17,896,0.5,134,0.5,0.0000,0.0000
2024,1,1,16,30,-1.3,1.36,0.017,0.64,6,114,8,0,0,-4.1000000000000005,6,114,0,8,0.356,81.33,89.23,0.92,0.17,896,0.5,165,0.8,0.0000,0.0000
2024,1,1,17,30,-2.4000000000000004,1.34,0.018000000000000002,0.64,0,0,0,0,0,-4.6000000000000005,0,0,0,0,0.352,84.84,97.5,0.91,0.17,896,0.5,190,1,0.0000,0.0000
2024,1,1,18,30,-3.1,1.33,0.017,0.64,0,0,0,0,0,-5.1000000000000005,0,0,0,0,0.34700000000000003,86.15,106.21000000000001,0.91,0.17,896,0.5,213,1.2000000000000002,0.0000,0.0000
2024,1,1,19,30,-3.8000000000000003,1.31,0.016,0.64,0,0,0,0,0,-5.6000000000000005,0,0,0,0,0.343,87.03,115.45,0.91,0.17,895,0.5,230,1.5,0.0000,0.0000
2024,1,1,20,30,-4.5,1.29,0.015,0.64,0,0,0,0,0,-6.4,0,0,0,0,0.342,86.61,124.86,0.91,0.17,895,0.5,241,1.7000000000000002,0.0000,0.0000
2024,1,1,21,30,-4.9,1.27,0.016,0.64,0,0,0,0,0,-7.2,0,0,0,0,0.342,84.02,134.04,0.91,0.17,895,0.5,249,1.8,0.0000,0.0000
2024,1,1,22,30,-5,1.27,0.016,0.64,0,0,0,0,7,-7.9,0,0,0,0,0.341,80.12,142.38,0.91,0.17,894,0.5,255,1.9000000000000001,0.0000,0.0000
2024,1,1,23,30,-4.9,1.26,0.015,0.64,0,0,0,0,7,-8.3,0,0,0,0,0.34,76.8,148.83,0.91,0.17,894,0.5,260,1.9000000000000001,0.0000,0.0000
2024,1,2,0,30,-4.9,1.26,0.016,0.64,0,0,0,0,7,-8.6,0,0,0,0,0.339,75.09,151.85,0.91,0.17,894,0.5,265,1.9000000000000001,0.0000,0.0000
2024,1,2,1,30,-5,1.28,0.016,0.64,0,0,0,0,7,-8.700000000000001,0,0,0,0,0.34,75.02,150.27,0.91,0.17,894,0.5,272,1.8,0.0000,0.0000
2024,1,2,2,30,-5.4,1.31,0.017,0.64,0,0,0,0,7,-8.700000000000001,0,0,0,0,0.343,77.31,144.73,0.91,0.17,894,0.5,281,1.7000000000000002,0.0000,0.0000
2024,1,2,3,30,-5.9,1.33,0.017,0.64,0,0,0,0,8,-8.9,0,0,0,0,0.34500000000000003,79.28,136.86,0.91,0.17,894,0.5,289,1.7000000000000002,0.0000,0.0000
2024,1,2,4,30,-6.2,1.32,0.018000000000000002,0.64,0,0,0,0,7,-9.1,0,0,0,0,0.34600000000000003,79.75,127.86,0.91,0.17,894,0.5,295,1.9000000000000001,0.0000,0.0000
2024,1,2,5,30,-6,1.32,0.019,0.64,0,0,0,0,7,-9.3,0,0,0,0,0.34900000000000003,77.24,118.47,0.91,0.17,894,0.5,299,2.1,0.0000,0.0000
2024,1,2,6,30,-5.7,1.33,0.019,0.64,0,0,0,0,5,-9.5,0,0,0,0,0.352,74.59,109.14,0.91,0.17,894,0.6000000000000001,303,2.3000000000000003,0.0000,0.0000
2024,1,2,7,30,-5.9,1.35,0.018000000000000002,0.64,0,0,0,0,4,-9.700000000000001,0,0,0,0,0.353,74.23,100.21000000000001,0.9,0.17,895,0.6000000000000001,309,2.2,0.0000,0.0000
2024,1,2,8,30,-5.800000000000001,1.4000000000000001,0.017,0.64,0,0,0,0,4,-10.200000000000001,0,0,0,0,0.35000000000000003,71.09,92.02,0.9,0.17,895,0.6000000000000001,318,2.2,0.0000,0.0000
2024,1,2,9,30,-4.5,1.42,0.016,0.64,24,532,72,7,4,-9.9,40,1,100,40,0.34600000000000003,65.81,84.77,0.89,0.17,895,0.6000000000000001,327,2.3000000000000003,0.0000,0.0000
2024,1,2,10,30,-2.8000000000000003,1.43,0.017,0.64,35,722,170,0,0,-8.700000000000001,35,722,0,170,0.342,64.08,79.22,0.89,0.17,895,0.6000000000000001,332,2.3000000000000003,8.1044,6.1820
2024,1,2,11,30,-1.7000000000000002,1.43,0.017,0.64,40,802,241,0,0,-7.6000000000000005,40,802,0,241,0.338,63.96,75.48,0.89,0.17,895,0.6000000000000001,338,2.2,11.7365,9.0117
