Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,283469,-,-,-,51.09,-113.98,-7,1085,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2024,1,1,0,0,0,1.26,0.03,0.64,0,0,0,0,7,-0.4,0,0,0,0,0.352,97.28,150.93,0.9500000000000001,0.18,889,1.1,311,2.6,0.0000,0.0000
2024,1,1,0,30,-0.2,1.26,0.03,0.64,0,0,0,0,7,-0.4,0,0,0,0,0.352,98.7,151.88,0.9400000000000001,0.18,889,1,312,2.4000000000000004,0.0000,0.0000
2024,1,1,1,0,-0.30000000000000004,1.33,0.025,0.64,0,0,0,0,7,-0.6000000000000001,0,0,0,0,0.35100000000000003,97.52,151.65,0.9400000000000001,0.18,889,1,313,2.2,0.0000,0.0000
2024,1,1,1,30,-0.4,1.33,0.025,0.64,0,0,0,0,7,-0.6000000000000001,0,0,0,0,0.35100000000000003,98.35000000000001,150.26,0.93,0.18,890,0.9,315,2,0.0000,0.0000
2024,1,1,2,0,-0.6000000000000001,1.3800000000000001,0.023,0.64,0,0,0,0,4,-1,0,0,0,0,0.35100000000000003,97.41,147.87,0.93,0.18,890,0.8,318,1.8,0.0000,0.0000
2024,1,1,2,30,-1,1.3800000000000001,0.023,0.64,0,0,0,0,4,-1,0,0,0,0,0.35100000000000003,100,144.70000000000002,0.92,0.18,890,0.8,320,1.8,0.0000,0.0000
2024,1,1,3,0,-1.4000000000000001,1.42,0.02,0.64,0,0,0,0,4,-1.6,0,0,0,0,0.35100000000000003,98.33,140.96,0.92,0.18,891,0.7000000000000001,323,1.8,0.0000,0.0000
2024,1,1,3,30,-1.7000000000000002,1.42,0.02,0.64,0,0,0,0,4,-1.7000000000000002,0,0,0,0,0.35100000000000003,100,136.82,0.91,0.18,891,0.6000000000000001,322,1.8,0.0000,0.0000
2024,1,1,4,0,-2.1,1.44,0.018000000000000002,0.64,0,0,0,0,4,-2.4000000000000004,0,0,0,0,0.35100000000000003,97.51,132.41,0.91,0.18,891,0.6000000000000001,321,1.9000000000000001,0.0000,0.0000
2024,1,1,4,30,-2.5,1.44,0.018000000000000002,0.64,0,0,0,0,4,-2.5,0,0,0,0,0.35100000000000003,100,127.83,0.9,0.18,891,0.5,319,1.9000000000000001,0.0000,0.0000
2024,1,1,5,0,-2.9000000000000004,1.44,0.016,0.64,0,0,0,0,4,-3.4000000000000004,0,0,0,0,0.35100000000000003,96.49000000000001,123.16,0.9,0.18,892,0.5,317,1.8,0.0000,0.0000
2024,1,1,5,30,-3.2,1.44,0.016,0.64,0,0,0,0,4,-3.4000000000000004,0,0,0,0,0.352,98.66,118.45,0.9,0.18,892,0.5,315,1.7000000000000002,0.0000,0.0000
2024,1,1,6,0,-3.6,1.44,0.015,0.64,0,0,0,0,4,-4.3,0,0,0,0,0.352,94.81,113.76,0.9,0.18,892,0.5,312,1.7000000000000002,0.0000,0.0000
2024,1,1,6,30,-3.7,1.44,0.015,0.64,0,0,0,0,4,-4.3,0,0,0,0,0.354,95.52,109.13,0.89,0.18,892,0.5,310,1.6,0.0000,0.0000
2024,1,1,7,0,-3.9000000000000004,1.44,0.014,0.64,0,0,0,0,4,-4.9,0,0,0,0,0.355,92.53,104.61,0.89,0.18,892,0.4,308,1.5,0.0000,0.0000
2024,1,1,7,30,-4.1000000000000005,1.44,0.014,0.64,0,0,0,0,4,-4.9,0,0,0,0,0.357,93.92,100.22,0.9,0.18,892,0.4,305,1.5,0.0000,0.0000
2024,1,1,8,0,-4.2,1.45,0.015,0.64,0,0,0,0,0,-5.300000000000001,0,0,0,0,0.358,91.81,96.03,0.9,0.18,892,0.4,303,1.5,0.0000,0.0000
2024,1,1,8,30,-3.7,1.45,0.015,0.64,0,0,0,0,0,-5.300000000000001,0,0,0,0,0.359,88.43,92.05,0.9,0.18,892,0.4,300,1.4000000000000001,0.0000,0.0000
