"id","name","address_orig","address","latitude","longitude","location","installationDate","public_url","manufacturerName","modelName","maximumPower"
"null","Municipal Building","800 MacLeod TR SE","800 MACLEOD TR SE","51.04541403","-114.0565464","(51.04541403, -114.0565464)","2008/01/01",,,,
"null","Fire Station No. 30 - McKenzie Towne","6 McKenzie Towne GA SE","6 MCKENZIE TOWNE GA SE","50.91643163","-113.963069726759","(50.91643163, -113.963069726759)","2010/01/01",,,,
"null","Ralph Klein Legacy Park","12350 84 ST SE","12350 84 ST SE","50.93756317","-113.9030174","(50.93756317, -113.9030174)","2010/01/01",,,,
"null","Fire Station No. 8 – Rosscarrock","1720 45 ST SW","1720 45 ST SW","51.03867255","-114.1521183","(51.03867255, -114.1521183)","2011/01/01",,,,
"null","Fire Station No. 22 - Temple","7199 Temple DR NW","7199 TEMPLE DR NE","51.09177006","-113.9574929","(51.09177006, -113.9574929)","2011/01/01",,,,
"null","Fire Station No. 24 - Cedarbrae","2607 106 AVE SW","2607 106 AV SW","50.95743078","-114.1213903","(50.95743078, -114.1213903)","2011/01/01",,,,
"null","69th St. Park and Ride","7085 17 AVE SW","7085 17 AV SW","51.03722709","-114.1892563","(51.03722709, -114.1892563)","2011/01/01",,,,
"null","Fire Station No. 5 – South Calgary","3129 14 ST SW","3129 14 ST SW","51.0260092","-114.0949484","(51.0260092, -114.0949484)","2012/01/01",,,,
"null","Bearspaw Operations Work Centre","10010 Bearspaw Dam RD NW","10010 BEARSPAW DAM RD NW","51.10415483","-114.2532031","(51.10415483, -114.2532031)","2014/01/01",,,,
"164440","Southland Leisure Centre","Southland Drive Southwest 2000","2000 SOUTHLAND DR SW","50.96248466","-114.1084722","(50.96248466, -114.1084722)","2015/09/01","https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=Southland%20Leisure%20Centre","RENESOLA","255","255"
"308057","Hillhurst Sunnyside Community Association","5 Avenue Northwest 1320","1320 5 AV NW","51.05754059","-114.0925026","(51.05754059, -114.0925026)","2016/09/25","https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=HSCA","Hanwha SolarOne","HSL60P6-PC-1-260","260"
"314106","Calgary Fire Hall Headquarters","42 Avenue Southeast 1212","1212 42 AV SE","51.01618884","-114.036667015348","(51.01618884, -114.036667015348)","2016/11/07","https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=Fire%20HQ","Hanwha Solar","HSL72 310W","310"
"332785","Richmond - Knob Hill Community Hall","2433 26 Avenue SW","2433 26 AV SW","51.02992323","-114.1169612","(51.02992323, -114.1169612)","2016/11/21","https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=Richmond%20Knobhill%20Community%20Association","Hanwha","HSC60-S-255","255"
"319086","Whitehorn Multi-Service Centre","35 Street Northeast 3705","3705 35 ST NE","51.08589533","-113.9835938","(51.08589533, -113.9835938)","2016/12/13","https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=Whitehorn","Hanwha Solar","HSL72P6-PA-4-310-entersolar","310"
"331901","City of Calgary North Corporate Warehouse","22 Street Northeast 2340","2340 22 ST NE","51.07318332","-114.0053631","(51.07318332, -114.0053631)","2016/12/21","https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=North%20Corporate%20Warehouse","Hanwha","HSL72P6-PC-3-310T","310"
"355827","Glenmore Water Treatment Plant","Elbow River Pathway","1634 56 AV SW","51.00307775","-114.1005705","(51.00307775, -114.1005705)","2017/01/11","https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=Glenmore","Hanwha Solar","HSL72 Poly-315W","315"
"551172","CFD Firehall #7","4 Street Northwest 2708","2708 4 ST NW","51.07632236","-114.071084","(51.07632236, -114.071084)","2017/09/13","https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=Fire%20No%207","Hanwha Solar","HSL72 Poly-315W","315"
"570079","Manchester Building M","26 Avenue Southeast 3","651M 25 AV SE","51.02739673","-114.0490359","(51.02739673, -114.0490359)","2017/10/23","https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=Manchester%20M","Hanwha Solar","HSL72 310W","310"
"577650","CoC Bearspaw Water Treatment Plant PV","Nose Hill Drive Northwest, Nose Hill Drive Northwest","11444 Bearspaw Dam RD NW","51.10499","-114.250011","(51.10499, -114.250011)","2017/10/31","https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=Bearspaw","LG Solar","LG-360-S2W","360"
"594148","Telus Spark","Saint Georges Drive Northeast 220","220 ST GEORGES DR NE","51.05386837","-114.0244927","(51.05386837, -114.0244927)","2017/11/27","https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark","LG","LG370N2W-G4","273"
"null","Shepard Solar Park","12111 68 ST SE","12111 68 ST SE","50.94455532","-113.9371242","(50.94455532, -113.9371242)",,,,,
